ccf_icon_file,source,final_lucide_match,confidence,confidence_manually_set,icon_manually_picked,note
ccf-call-unmask-icon,wrapper,audio-lines,HIGH,yes,yes,
ccf-callback-icon,wrapper,phone,HIGH,yes,yes,
ccf-chat-group-icon,wrapper,messages-square,HIGH,yes,yes,
ccf-chat-icon,wrapper,message-circle-heart,CUSTOM,yes,no,
ccf-chat-inbound,wrapper,message-circle-heart,CUSTOM,yes,no,
ccf-check-box-icon,wrapper,boom-box,MEDIUM,no,no,
ccf-check-box-outline-blank-icon,wrapper,boom-box,MEDIUM,no,no,
ccf-check-icon,wrapper,check,HIGH,no,no,
ccf-clip-overflow-icon,wrapper,ellipsis,HIGH,yes,yes,
ccf-clipboard-check-icon,wrapper,clipboard-check,HIGH,no,no,
ccf-close-icon,wrapper,x,HIGH,no,no,
ccf-coBrowse-icon,wrapper,picture-in-picture-2,HIGH,yes,yes,
ccf-collapse-panel-icon,wrapper,minimize,HIGH,yes,yes,
ccf-conference-agent-icon,wrapper,headset,HIGH,yes,yes,
ccf-conference-icon,wrapper,users,HIGH,yes,yes,
ccf-conference-inbound-icon,wrapper,phone-incoming,HIGH,yes,yes,
ccf-conference-outbound-icon,wrapper,phone-outgoing,HIGH,yes,yes,
ccf-consult-context-conference-icon,wrapper,wifi-zero,CUSTOM,yes,no,
ccf-consult-context-consult-icon,wrapper,train-front,CUSTOM,yes,no,
ccf-consult-icon,wrapper,user-round-plus,HIGH,yes,yes,
ccf-conversation-icon,wrapper,messages-square,HIGH,yes,yes,
ccf-conversation-outline-icon,wrapper,messages-square,HIGH,yes,yes,
ccf-copilot-add-participants-icon,wrapper,copy-plus,MEDIUM,no,no,
ccf-copilot-alert-icon,wrapper,triangle-alert,HIGH,yes,yes,
ccf-copilot-announce-icon,wrapper,megaphone,HIGH,yes,no,
ccf-copilot-check-square-icon,wrapper,square-check,HIGH,no,no,
ccf-copilot-checklist-card-icon,wrapper,file-check-2,HIGH,yes,yes,
ccf-copilot-checklist-icon,wrapper,list-checks,HIGH,yes,yes,
ccf-copilot-checklist-note-icon,wrapper,sticky-note,HIGH,yes,yes,
ccf-copilot-checklist-tick-icon,wrapper,check,HIGH,yes,yes,
ccf-copilot-checkmark-icon,wrapper,circle-check-big,HIGH,yes,no,
ccf-copilot-clear-textblock-icon,wrapper,x,HIGH,no,no,
ccf-copilot-clipboard-icon,wrapper,clipboard-type,HIGH,yes,no,
ccf-copilot-close-icon,wrapper,x,HIGH,no,no,
ccf-copilot-clueless-icon,wrapper,info,MEDIUM,no,no,
ccf-copilot-coffee-icon,wrapper,coffee,HIGH,yes,no,
ccf-copilot-collapse-summary-icon,wrapper,minimize,HIGH,yes,yes,
ccf-copilot-customer-satisfaction-icon,wrapper,dot,LOW,no,no,
ccf-copilot-date-time-icon,wrapper,clock,HIGH,no,no,
ccf-copilot-decision-tree-action-check-icon,wrapper,check,HIGH,yes,no,
ccf-copilot-decision-tree-icon,wrapper,tree-palm,MEDIUM,no,no,
ccf-copilot-decision-tree-warning-icon,wrapper,triangle-alert,HIGH,yes,yes,
ccf-copilot-disabled-dislike-icon,wrapper,thumbs-down,HIGH,yes,no,
ccf-copilot-disabled-insert-icon,wrapper,square-arrow-right-enter,MEDIUM,no,no,
ccf-copilot-disabled-like-icon,wrapper,thumbs-up,HIGH,yes,no,
ccf-copilot-disabled-send-icon,wrapper,send,HIGH,yes,no,
ccf-copilot-dislike-icon,wrapper,thumbs-down,HIGH,no,no,
ccf-copilot-dollar-icon,wrapper,dollar-sign,HIGH,yes,no,
ccf-copilot-down-arrow-icon,wrapper,chevron-down,HIGH,no,no,
ccf-copilot-edit-document-icon,wrapper,file-edit,HIGH,yes,yes,
ccf-copilot-edit-note-icon,wrapper,edit,MEDIUM,no,no,
ccf-copilot-email-icon,wrapper,mail,HIGH,yes,no,
ccf-copilot-error-icon,wrapper,alert-circle,HIGH,yes,yes,
ccf-copilot-error-round-icon,wrapper,alert-circle,HIGH,no,yes,
ccf-copilot-expand-icon,wrapper,file-search-2,HIGH,yes,yes,
ccf-copilot-expand-summary-icon,wrapper,expand,HIGH,no,no,
ccf-copilot-favourite-icon,wrapper,heart,HIGH,yes,yes,
ccf-copilot-feedback-icon,wrapper,align-vertical-justify-end,MEDIUM,no,yes,
ccf-copilot-filter-icon,wrapper,filter,HIGH,yes,no,
ccf-copilot-handshake-icon,wrapper,handshake,HIGH,yes,no,
ccf-copilot-headphones-icon,wrapper,headset,HIGH,yes,yes,
ccf-copilot-help-icon,wrapper,circle-help,HIGH,no,no,
ccf-copilot-hide-details-icon,wrapper,chevron-up,HIGH,yes,yes,
ccf-copilot-history-icon,wrapper,history,HIGH,yes,no,
ccf-copilot-home-icon,wrapper,home,HIGH,yes,no,
ccf-copilot-image-icon,wrapper,image,HIGH,yes,yes,
ccf-copilot-info-icon,wrapper,info,HIGH,no,no,
ccf-copilot-information-icon,wrapper,info,HIGH,yes,yes,
ccf-copilot-insert-icon,wrapper,file-plus-2,HIGH,yes,yes,
ccf-copilot-interaction-icon,wrapper,mouse-pointer-2-off,CUSTOM,yes,no,
ccf-copilot-internal-use-icon,wrapper,lock,HIGH,yes,yes,
ccf-copilot-journey-summary-icon,wrapper,summary,MEDIUM,no,no,
ccf-copilot-lamp-icon,wrapper,lightbulb,HIGH,yes,yes,
ccf-copilot-like-icon,wrapper,thumbs-up,HIGH,no,no,
ccf-copilot-link-icon,wrapper,link,HIGH,yes,no,
ccf-copilot-list-icon,wrapper,list,HIGH,yes,yes,
ccf-copilot-loyalty-acknowledge-icon,wrapper,stamp,MEDIUM,no,no,
ccf-copilot-message-icon,wrapper,message-circle-heart,MEDIUM,no,no,
ccf-copilot-note-icon,wrapper,sticky-note-x,MEDIUM,no,no,
ccf-copilot-open-link-icon,wrapper,square-arrow-out-up-right,HIGH,no,no,
ccf-copilot-package-icon,wrapper,package-2,HIGH,no,no,
ccf-copilot-pending-actions-icon,wrapper,calendar-clock,HIGH,yes,yes,
ccf-copilot-people-icon,wrapper,users-round,HIGH,yes,yes,
ccf-copilot-pie-chart-icon,wrapper,chart-pie,HIGH,yes,no,
ccf-copilot-pixie-dust-icon,wrapper,sparkles,HIGH,yes,yes,
ccf-copilot-playback-icon,wrapper,disc,HIGH,no,no,
ccf-copilot-process-steps-icon,wrapper,step-forward,MEDIUM,no,no,
ccf-copilot-rejected-icon,wrapper,ban,HIGH,yes,yes,
ccf-copilot-retry-icon,wrapper,rotate-cw,HIGH,yes,yes,
ccf-copilot-schedule-icon,wrapper,calendar-days,HIGH,yes,yes,
ccf-copilot-search-icon,wrapper,search,HIGH,yes,yes,
ccf-copilot-secondary-content-lock-icon,wrapper,earth-lock,MEDIUM,no,no,
ccf-copilot-secondary-sparkle-icon,wrapper,sparkles,HIGH,yes,yes,
ccf-copilot-send-icon,wrapper,send,HIGH,yes,no,
ccf-copilot-sent-icon,wrapper,check,HIGH,yes,yes,
ccf-copilot-setting-icon,wrapper,settings,HIGH,yes,no,
ccf-copilot-shield-icon,wrapper,shield,HIGH,yes,no,
ccf-copilot-sparkle-icon,wrapper,sparkles,HIGH,yes,yes,
ccf-copilot-star-icon,wrapper,star,HIGH,no,no,
ccf-copilot-success-icon,wrapper,circle-check,HIGH,yes,yes,
ccf-copilot-success-outline-icon,wrapper,circle-check,HIGH,yes,yes,
ccf-copilot-summary-sparkle-icon,wrapper,sparkles,HIGH,yes,yes,
ccf-copilot-task-error-icon,wrapper,circle-alert,HIGH,yes,yes,
ccf-copilot-task-icon,wrapper,sticky-note-check,HIGH,yes,yes,
ccf-copilot-timeline-icon,wrapper,settings-2,HIGH,yes,yes,
ccf-copilot-timer-icon,wrapper,clock,HIGH,no,no,
ccf-copilot-toolbar-collapse-icon,wrapper,chevron-right,HIGH,yes,yes,
ccf-copilot-toolbar-expand-icon,wrapper,chevron-left,HIGH,yes,yes,
ccf-copilot-transfer-summary-icon,wrapper,chevron-left,HIGH,yes,yes,
ccf-copilot-travel-icon,wrapper,briefcase-business,HIGH,yes,yes,
ccf-copilot-trend-down-icon,wrapper,chevrons-down-up,MEDIUM,no,no,
ccf-copilot-trend-up-icon,wrapper,trending-up-down,MEDIUM,no,no,
ccf-copilot-trophy-icon,wrapper,trophy,HIGH,yes,no,
ccf-copilot-up-arrow-icon,wrapper,chevron-up,HIGH,no,no,
ccf-copilot-view-details-icon,wrapper,chevron-down,HIGH,yes,yes,
ccf-copilot-warning-icon,wrapper,triangle-alert,HIGH,yes,no,
ccf-copilot-warning-outline-icon,wrapper,triangle-alert,HIGH,yes,no,
ccf-copilot-weather-icon,wrapper,snowflake,MEDIUM,no,no,
ccf-copilot-workflow-completed-icon,wrapper,book-open-check,MEDIUM,no,no,
ccf-copilot-workflow-icon,wrapper,workflow,MEDIUM,no,no,
ccf-copy-icon,wrapper,copy,HIGH,no,no,
ccf-customWorkspace-icon,wrapper,monitor,HIGH,yes,yes,
ccf-customer-card-icon,wrapper,id-card,HIGH,yes,yes,
ccf-cxagent-logo-icon,wrapper,,CUSTOM,yes,no,
ccf-cxone-logo-icon,wrapper,,CUSTOM,yes,no,
ccf-date-picker-icon,wrapper,calendar-days,HIGH,yes,yes,
ccf-delete-icon,wrapper,delete,HIGH,no,no,
ccf-digital-appleChat-icon,wrapper,,CUSTOM,yes,no,
ccf-digital-chat-icon,wrapper,bot,CUSTOM,yes,no,
ccf-digital-email-icon,wrapper,send-horizontal,CUSTOM,yes,no,
ccf-digital-facebook-icon,wrapper,,CUSTOM,yes,no,
ccf-digital-icon,wrapper,card-sim,MEDIUM,no,no,
ccf-digital-instagram-icon,wrapper,,CUSTOM,yes,no,
ccf-digital-line-icon,wrapper,,CUSTOM,yes,no,
ccf-digital-linkedIn-icon,wrapper,link-2,CUSTOM,yes,no,
ccf-digital-tag-add-icon,wrapper,tag-plus,HIGH,yes,yes,
ccf-digital-tag-icon,wrapper,tag,HIGH,yes,yes,
ccf-digital-twitter-icon,wrapper,,CUSTOM,yes,no,
ccf-digital-weChat-icon,wrapper,bot-off,CUSTOM,yes,no,
ccf-digital-whatsApp-icon,wrapper,app-window,CUSTOM,yes,no,
ccf-directory-icon,wrapper,book-user,HIGH,yes,yes,
ccf-disable-call-icon,wrapper,phone-call,MEDIUM,no,yes,
ccf-disposition-icon,wrapper,circle-check-big,HIGH,yes,yes,
ccf-dock-control-icon,wrapper,git-commit-horizontal,MEDIUM,no,no,
ccf-double-arrow-icon,wrapper,chevrons-down,HIGH,yes,yes,
ccf-download-transcript-icon,wrapper,file-down,HIGH,yes,yes,
ccf-draft-approval,wrapper,file-check,HIGH,yes,yes,
ccf-draggable-icon,wrapper,grip-vertical,HIGH,yes,no,
ccf-dual-assignment-icon,wrapper,school,MEDIUM,no,no,
ccf-edit-book-icon,wrapper,pencil,HIGH,yes,yes,
ccf-edit-icon,wrapper,edit-2,HIGH,no,no,
ccf-edit-pen-icon,wrapper,pen,HIGH,no,no,
ccf-elevated-interaction-icon,wrapper,mouse-pointer-2-off,MEDIUM,no,no,
ccf-email-icon,wrapper,mail,HIGH,yes,yes,
ccf-email-sort-order-icon,wrapper,arrow-up-down,HIGH,no,no,
ccf-emoji-icon,wrapper,smile,HIGH,no,no,
ccf-enlighten-icon,wrapper,lightbulb,HIGH,yes,yes,
ccf-external-directory-icon,wrapper,book-up,HIGH,yes,yes,
ccf-facebook-approve-icon,wrapper,,NONE,no,no,No Lucide equivalent — Facebook
ccf-facebook-comment-icon,wrapper,,NONE,no,no,No Lucide equivalent — Facebook
ccf-facebook-icon,wrapper,,CUSTOM,yes,no,
ccf-facebook-like-icon,wrapper,,CUSTOM,yes,no,
ccf-facebook-love-icon,wrapper,,CUSTOM,yes,no,
ccf-facebook-wow-icon,wrapper,,CUSTOM,yes,no,
ccf-fast-forward-icon,wrapper,fast-forward,HIGH,no,no,
ccf-favourite-icon,wrapper,star,HIGH,yes,yes,
ccf-fax-machine-icon,wrapper,printer,MEDIUM,no,no,
ccf-feedback-icon,wrapper,message-square-heart,HIGH,yes,no,
ccf-filter-icon,wrapper,filter,HIGH,no,no,
ccf-flash-icon,wrapper,zap,HIGH,no,no,
ccf-focus-icon,wrapper,crosshair,HIGH,no,yes,
ccf-format-bold-icon,wrapper,bold,HIGH,yes,no,
ccf-gif-icon,wrapper,image-play,CUSTOM,yes,no,
ccf-header-bell-icon,wrapper,bell,HIGH,yes,yes,
ccf-header-grid-icon,wrapper,grid-3-x-3,HIGH,yes,yes,
ccf-header-search-icon,wrapper,search,HIGH,yes,no,
ccf-help-icon,wrapper,circle-help,HIGH,no,no,
ccf-hide-icon,wrapper,eye-closed,HIGH,yes,no,
ccf-home-icon,wrapper,home,HIGH,no,no,
ccf-image-icon,wrapper,image,HIGH,no,no,
ccf-inbound-assignment-icon,wrapper,user-round-arrow-left,NONE,yes,no,
ccf-inbound-icon,wrapper,user-round-arrow-left,MEDIUM,no,no,
ccf-info-icon,wrapper,info,HIGH,no,no,
ccf-insert-icon,wrapper,file-plus-2,HIGH,yes,yes,
ccf-interaction-complete-icon,wrapper,check-circle-2,HIGH,yes,yes,
ccf-keyboard-icon,wrapper,keyboard,HIGH,no,no,
ccf-launch-indicator-icon,wrapper,upload,HIGH,yes,yes,
ccf-launch-indicator-revamped-icon,wrapper,square-arrow-up,HIGH,yes,yes,
ccf-left-arrow-icon,wrapper,chevron-left,HIGH,no,no,
ccf-line-icon,wrapper,,NONE,no,no,No Lucide equivalent — LINE
ccf-linkedin-icon,wrapper,,NONE,no,no,No Lucide equivalent — LinkedIn
ccf-listening-voice-icon,wrapper,audio-lines,CUSTOM,yes,no,
ccf-logout-icon,wrapper,log-out,HIGH,no,no,
ccf-mail-outline-icon,wrapper,mail,HIGH,yes,no,
ccf-menu-pin-icon,wrapper,pin,HIGH,yes,yes,
ccf-menubook-icon,wrapper,square-menu,MEDIUM,no,no,
ccf-message-outline-icon,wrapper,message-square,HIGH,yes,no,
ccf-minus-icon,wrapper,minus,HIGH,no,no,
ccf-missing-id-voice-icon,wrapper,audio-lines,HIGH,yes,yes,
ccf-more-menu-icon,wrapper,ellipsis,HIGH,no,no,
ccf-navigation-icon,wrapper,chevron-right,HIGH,no,yes,
ccf-negative-sentiment-icon,wrapper,minus,MEDIUM,no,no,
ccf-neutral-negative-sentiment-icon,wrapper,meh,MEDIUM,no,no,
ccf-neutral-positive-sentiment-icon,wrapper,message-circle-heart,MEDIUM,no,no,
ccf-new-interaction-icon,wrapper,user-plus,HIGH,yes,no,
ccf-new-window-icon,wrapper,external-link,HIGH,yes,yes,
ccf-no-assignment-icon,wrapper,inbox,HIGH,yes,yes,
ccf-no-result-found-icon,wrapper,chart-no-axes-combined,MEDIUM,no,no,
ccf-not-authenticated-voice-icon,wrapper,audio-lines,CUSTOM,yes,no,
ccf-not-favorite-icon,wrapper,star,HIGH,no,no,
ccf-open-new-tab-icon,wrapper,square-arrow-out-up-right,HIGH,no,no,
ccf-open-panel-icon,wrapper,panel-left-open,HIGH,no,no,
ccf-open-url-icon,wrapper,book-open,MEDIUM,no,no,
ccf-outbound-assignment-icon,wrapper,user-plus,HIGH,yes,yes,
ccf-outbound-icon,wrapper,external-link,MEDIUM,no,no,
ccf-outcome-panel-icon,wrapper,layout-panel-left,CUSTOM,yes,no,
ccf-outcome-resolve-icon,wrapper,check-circle,HIGH,yes,yes,
ccf-overflow-icon,wrapper,ellipsis-vertical,HIGH,no,no,
ccf-paperclip-icon,wrapper,paperclip,HIGH,no,no,
ccf-participant-on-hold,wrapper,circle-power,MEDIUM,no,no,
ccf-person-icon,wrapper,person-standing,HIGH,no,no,
ccf-phone-icon,wrapper,phone,HIGH,no,no,
ccf-phone-inbound-icon,wrapper,phone,CUSTOM,yes,no,
ccf-phone-inbound-revamped-icon,wrapper,phone,CUSTOM,yes,no,
ccf-phone-outbound-icon,wrapper,phone,HIGH,yes,no,
ccf-phone-outbound-revamped-icon,wrapper,phone,CUSTOM,yes,no,
ccf-phone-outline-icon,wrapper,phone,HIGH,yes,no,
ccf-phone-ringing-icon,wrapper,signal-low,CUSTOM,yes,no,
ccf-pin-control-icon,wrapper,pin,HIGH,yes,yes,
ccf-plus-icon,wrapper,plus,HIGH,no,no,
ccf-pop-out-arrow-icon,wrapper,square-arrow-out-up-right,HIGH,yes,yes,
ccf-popover-icon,wrapper,utility-pole,LOW,no,no,
ccf-positive-sentiment-icon,wrapper,message-circle-heart,MEDIUM,no,no,
ccf-queue-counter-digital-icon,wrapper,rows-4,MEDIUM,no,no,
ccf-queue-icon,wrapper,layers,CUSTOM,yes,yes,
ccf-quick-replies-icon,wrapper,zap,HIGH,yes,no,
ccf-redo-with-edit-icon,wrapper,folder-edit,MEDIUM,no,no,
ccf-refuse-approval,wrapper,file-x-2,HIGH,yes,yes,
ccf-replay-icon,wrapper,refresh-cw,HIGH,yes,yes,
ccf-reporting-icon,wrapper,bar-chart-big,HIGH,yes,yes,
ccf-resume-icon,wrapper,file-user,MEDIUM,no,no,
ccf-return-to-tab-icon,wrapper,picture-in-picture,MEDIUM,no,yes,
ccf-rewind-icon,wrapper,rewind,NONE,yes,no,
ccf-right-arrow-forward-icon,wrapper,arrow-right,HIGH,no,no,
ccf-right-arrow-icon,wrapper,chevron-right,HIGH,no,no,
ccf-schedule-new-commitment-icon,wrapper,calendar,HIGH,yes,yes,
ccf-screen-pop-icon,wrapper,pencil-ruler,HIGH,yes,yes,
ccf-scroll-to-bottom-icon,wrapper,arrow-down,HIGH,yes,yes,
ccf-search-icon,wrapper,search,HIGH,no,no,
ccf-see-more-icon,wrapper,message-circle-more,MEDIUM,no,no,
ccf-send-icon,wrapper,send,HIGH,no,no,
ccf-send-transcript-icon,wrapper,send-horizontal,HIGH,no,no,
ccf-send-with-enter-icon,wrapper,send-horizontal,HIGH,no,no,
ccf-sentiment-icon,wrapper,meh,HIGH,yes,yes,
ccf-settings-icon,wrapper,settings,HIGH,no,no,
ccf-sharp-inbound-icon,wrapper,astroid,CUSTOM,yes,no,
ccf-sharp-outbound-icon,wrapper,astroid,CUSTOM,yes,no,
ccf-show-icon,wrapper,eye,HIGH,no,no,
ccf-show-origin-icon,wrapper,tv-minimal,HIGH,no,no,
ccf-single-arrow-icon,wrapper,chevron-down,HIGH,yes,yes,
ccf-skill-icon,wrapper,wrench,HIGH,yes,yes,
ccf-sms-icon,wrapper,message-square-text,CUSTOM,yes,no,
ccf-sort-icon,wrapper,sort-desc,HIGH,no,no,
ccf-sort-order-icon-ascending,wrapper,list-sort-ascending,HIGH,yes,yes,
ccf-sort-order-icon-descending,wrapper,arrow-down-wide-narrow,HIGH,yes,yes,
ccf-sparkles-icon,wrapper,sparkles,HIGH,no,no,
ccf-speaker-icon,wrapper,speaker,HIGH,no,no,
ccf-sr-desk-icon,wrapper,lamp-desk,MEDIUM,no,no,
ccf-suggestion-icon,wrapper,lightbulb,HIGH,yes,yes,
ccf-swap-icon,wrapper,arrow-up-down,HIGH,yes,yes,
ccf-team-icon,wrapper,users,HIGH,yes,yes,
ccf-text-color-icon,wrapper,baseline,HIGH,yes,no,
ccf-transcript-icon,wrapper,scroll-text,HIGH,yes,yes,
ccf-transcription-error-icon,wrapper,alert-circle,HIGH,yes,yes,
ccf-transfer-arrows-icon,wrapper,arrow-right-left,HIGH,yes,no,
ccf-transfer-icon,wrapper,arrow-right-left,HIGH,yes,yes,
ccf-translation-arrows-icon,wrapper,arrow-down-up,HIGH,no,no,
ccf-trash-bin-icon,wrapper,trash-2,HIGH,yes,no,
ccf-tweet-eye-icon,wrapper,eye,HIGH,yes,no,
ccf-twitter-auth-batch-icon,wrapper,,NONE,no,no,No Lucide equivalent — Twitter/X
ccf-twitter-comments-icon,wrapper,,NONE,no,no,No Lucide equivalent — Twitter/X
ccf-twitter-favorite-icon,wrapper,,NONE,no,no,No Lucide equivalent — Twitter/X
ccf-twitter-icon,wrapper,,CUSTOM,yes,no,
ccf-twitter-insert-emoji-icon,wrapper,smile-plus,HIGH,yes,yes,
ccf-twitter-insert-gif-icon,wrapper,,CUSTOM,yes,no,
ccf-twitter-insert-pic-icon,wrapper,,CUSTOM,yes,no,
ccf-twitter-retweet-icon,wrapper,repeat-2,HIGH,yes,yes,
ccf-unavailable-icon,wrapper,minus-circle,HIGH,yes,yes,
ccf-unfavored-icon,wrapper,star,HIGH,yes,no,
ccf-unmask-icon,wrapper,wifi-zero,CUSTOM,yes,no,
ccf-up-arrow-icon,wrapper,chevron-up,HIGH,no,no,
ccf-upload-icon,wrapper,upload,HIGH,no,no,
ccf-user-plus-icon,wrapper,user-plus,HIGH,no,no,
ccf-video-outline-icon,wrapper,video,HIGH,no,no,
ccf-view-in-new-window-icon,wrapper,app-window,HIGH,no,no,
ccf-voicemail-hold-icon,wrapper,pause,HIGH,yes,yes,
ccf-voicemail-icon,wrapper,voicemail,HIGH,no,no,
ccf-voicemail-resume-icon,wrapper,file-user,MEDIUM,no,no,
ccf-wem-icon,wrapper,target,CUSTOM,yes,no,
ccf-whatsApp-icon,wrapper,app-window,CUSTOM,yes,no,
ccf-work-history-icon,wrapper,history,HIGH,yes,no,
ccf-work-item-icon,wrapper,list,HIGH,yes,yes,
ccf-working-icon,wrapper,circle-dot,HIGH,yes,yes,
ccf-writing-icon,wrapper,pen,HIGH,no,no,
APPROVAL_BANNER_ICONS.APPROVAL_DENY,inline,file-x-2,HIGH,yes,yes,
ATTACHMENT_ICON_NAME.CLOSE,inline,x,HIGH,no,no,
ATTACHMENT_ICON_NAME.DOCUMENT,inline,file-text,HIGH,yes,yes,
ATTACHMENT_ICON_NAME.DOWNLOAD,inline,cloud-download,HIGH,no,no,
ATTACHMENT_ICON_NAME.DOWNLOADALL,inline,move-down,MEDIUM,no,no,
ATTACHMENT_ICON_NAME.IMAGE,inline,image,HIGH,no,no,
ATTACHMENT_ICON_NAME.PDF,inline,file-text,CUSTOM,yes,no,
ATTACHMENT_ICON_NAME.PREVIEW,inline,file-search-2,HIGH,yes,yes,
ATTACHMENT_ICON_NAME.RECORDING_IN_PROGRESS,inline,loader-pinwheel,MEDIUM,no,no,
ATTACHMENT_ICON_NAME.RECORDING_STARTED,inline,mic,HIGH,no,no,
ATTACHMENT_ICON_NAME.RECORDING_STOPPED,inline,mic,HIGH,yes,yes,
ATTACHMENT_ICON_NAME.REOCORDING_DISABLED,inline,mic,HIGH,yes,yes,
CHANNEL_DIRECTION.INBOUND,inline,user-round-arrow-left,MEDIUM,no,no,
CHANNEL_DIRECTION.OUTBOUND,inline,external-link,MEDIUM,no,no,
CHANNEL_ICON_NAME.APPLE_REVIEWS,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.GOOGLE_BUSINESS_MESSAGE,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.GOOGLE_PLACES,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.GOOGLE_PLAY,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.IBCALL,inline,phone-call,CUSTOM,yes,no,
CHANNEL_ICON_NAME.INSTAGRAM,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.LIVECHAT,inline,message-square,HIGH,yes,yes,
CHANNEL_ICON_NAME.MS_TEAMS,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.OBCALL,inline,phone-call,CUSTOM,yes,no,
CHANNEL_ICON_NAME.SLACK,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.SMS,inline,message-square-text,CUSTOM,yes,no,
CHANNEL_ICON_NAME.SMS_IB,inline,message-square-text,CUSTOM,yes,no,
CHANNEL_ICON_NAME.SMS_OB,inline,message-square-text,CUSTOM,yes,no,
CHANNEL_ICON_NAME.TELEGRAM,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.TWITTER,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.VIBER,inline,,CUSTOM,yes,no,
CHANNEL_ICON_NAME.VOICE,inline,audio-waveform,CUSTOM,yes,no,
CHANNEL_ICON_NAME.VOICE_IB,inline,voicemail,CUSTOM,yes,no,
CHANNEL_ICON_NAME.VOICE_OB,inline,voicemail,CUSTOM,yes,no,
CHANNEL_ICON_NAME.VOICE_OLD,inline,phone-incoming,HIGH,yes,yes,
CHANNEL_ICON_NAME.VOICE_OLD_2,inline,clock-9,HIGH,yes,yes,
CHANNEL_ICON_NAME.VOICE_OLD_3,inline,voicemail,MEDIUM,no,no,
