ccf_icon_file,source,final_lucide_match,confidence,confidence_manually_set,icon_manually_picked,note
ccf-copilot-decision-tree-action-check-icon,wrapper,check,HIGH,no,no,
ccf-copilot-decision-tree-icon,wrapper,workflow,MEDIUM,no,yes,
ccf-copilot-decision-tree-warning-icon,wrapper,triangle-alert,HIGH,no,no,
ccf-copilot-disabled-dislike-icon,wrapper,thumbs-down,HIGH,no,no,
ccf-copilot-disabled-insert-icon,wrapper,sticky-note-plus,MEDIUM,no,yes,
ccf-copilot-disabled-like-icon,wrapper,thumbs-up,HIGH,no,no,
ccf-copilot-disabled-send-icon,wrapper,send,HIGH,no,no,
ccf-copilot-dislike-icon,wrapper,thumbs-down,HIGH,no,no,
ccf-copilot-dollar-icon,wrapper,dollar-sign,HIGH,no,no,
ccf-copilot-down-arrow-icon,wrapper,chevron-down,HIGH,no,no,
ccf-copilot-edit-document-icon,wrapper,file-edit,HIGH,no,no,
ccf-copilot-edit-note-icon,wrapper,edit,MEDIUM,no,no,
ccf-copilot-email-icon,wrapper,mail,HIGH,no,no,
ccf-copilot-error-icon,wrapper,alert-circle,HIGH,no,no,
ccf-copilot-error-round-icon,wrapper,alert-circle,HIGH,no,no,
ccf-copilot-expand-icon,wrapper,file-search-2,HIGH,no,no,
ccf-copilot-expand-summary-icon,wrapper,expand,HIGH,no,no,
ccf-copilot-favourite-icon,wrapper,heart,HIGH,no,no,
ccf-copilot-feedback-icon,wrapper,align-vertical-justify-end,CUSTOM,yes,no,
ccf-copilot-filter-icon,wrapper,filter,HIGH,no,no,
ccf-copilot-handshake-icon,wrapper,handshake,HIGH,no,no,
ccf-copilot-headphones-icon,wrapper,headset,HIGH,no,no,
ccf-copilot-help-icon,wrapper,circle-help,HIGH,no,no,
ccf-copilot-hide-details-icon,wrapper,chevrons-up,HIGH,no,no,
ccf-copilot-history-icon,wrapper,history,HIGH,no,no,
ccf-copilot-home-icon,wrapper,home,HIGH,no,no,
ccf-copilot-image-icon,wrapper,image,HIGH,no,no,
ccf-copilot-info-icon,wrapper,info,HIGH,no,no,
ccf-copilot-information-icon,wrapper,circle-alert,HIGH,no,no,
ccf-copilot-insert-icon,wrapper,file-plus-2,HIGH,no,no,
ccf-copilot-interaction-icon,wrapper,,CUSTOM,no,no,
ccf-copilot-internal-use-icon,wrapper,lock-keyhole,HIGH,no,no,
ccf-copilot-journey-summary-icon,wrapper,summary,MEDIUM,no,no,
ccf-copilot-lamp-icon,wrapper,lightbulb,HIGH,no,no,
ccf-copilot-like-icon,wrapper,thumbs-up,HIGH,no,no,
ccf-copilot-link-icon,wrapper,link,HIGH,no,no,
ccf-copilot-list-icon,wrapper,list,HIGH,no,no,
ccf-copilot-loyalty-acknowledge-icon,wrapper,stamp,CUSTOM,yes,no,
ccf-copilot-message-icon,wrapper,message-circle-heart,MEDIUM,no,no,
ccf-copilot-note-icon,wrapper,sticky-note,MEDIUM,no,yes,
ccf-copilot-open-link-icon,wrapper,square-arrow-out-up-right,HIGH,no,no,
ccf-copilot-package-icon,wrapper,package-2,HIGH,no,no,
ccf-copilot-pending-actions-icon,wrapper,calendar-clock,HIGH,no,no,
ccf-copilot-people-icon,wrapper,users,HIGH,no,no,
ccf-copilot-pie-chart-icon,wrapper,chart-pie,HIGH,no,no,
ccf-copilot-pixie-dust-icon,wrapper,sparkles,HIGH,no,no,
ccf-copilot-playback-icon,wrapper,disc,HIGH,no,no,
ccf-copilot-process-steps-icon,wrapper,list-checks,MEDIUM,no,yes,
ccf-copilot-rejected-icon,wrapper,ban,HIGH,no,no,
ccf-copilot-retry-icon,wrapper,rotate-cw,HIGH,no,no,
ccf-copilot-schedule-icon,wrapper,calendar-days,HIGH,no,no,
ccf-copilot-search-icon,wrapper,search,HIGH,no,no,
ccf-copilot-secondary-content-lock-icon,wrapper,earth-lock,CUSTOM,yes,no,
ccf-copilot-secondary-sparkle-icon,wrapper,sparkles,HIGH,no,no,
ccf-copilot-send-icon,wrapper,send,HIGH,no,no,
ccf-copilot-sent-icon,wrapper,check,HIGH,no,no,
ccf-copilot-setting-icon,wrapper,settings,HIGH,no,no,
ccf-copilot-shield-icon,wrapper,shield,HIGH,no,no,
ccf-copilot-sparkle-icon,wrapper,sparkles,HIGH,no,no,
ccf-copilot-star-icon,wrapper,star,HIGH,no,no,
ccf-copilot-success-icon,wrapper,circle-check,HIGH,no,no,
ccf-copilot-success-outline-icon,wrapper,circle-check,HIGH,no,no,
ccf-copilot-summary-sparkle-icon,wrapper,sparkles,HIGH,no,no,
ccf-copilot-task-error-icon,wrapper,octagon-x,HIGH,no,yes,
ccf-copilot-task-icon,wrapper,sticky-note-check,HIGH,no,no,
ccf-copilot-timeline-icon,wrapper,settings-2,HIGH,no,no,
ccf-copilot-timer-icon,wrapper,clock,HIGH,no,no,
ccf-copilot-toolbar-collapse-icon,wrapper,chevron-right,HIGH,no,no,
ccf-copilot-toolbar-expand-icon,wrapper,chevron-left,HIGH,no,no,
ccf-copilot-transfer-summary-icon,wrapper,arrow-right-left,HIGH,no,no,
ccf-copilot-travel-icon,wrapper,briefcase,HIGH,no,no,
ccf-copilot-trend-down-icon,wrapper,trending-down,MEDIUM,no,yes,
ccf-copilot-trend-up-icon,wrapper,trending-up,MEDIUM,no,yes,
ccf-copilot-trophy-icon,wrapper,trophy,HIGH,no,no,
ccf-copilot-up-arrow-icon,wrapper,chevron-up,HIGH,no,no,
ccf-copilot-view-details-icon,wrapper,chevrons-down,HIGH,no,no,
ccf-copilot-warning-icon,wrapper,triangle-alert,HIGH,no,no,
ccf-copilot-warning-outline-icon,wrapper,triangle-alert,HIGH,no,no,
ccf-copilot-weather-icon,wrapper,cloud-sun,MEDIUM,no,yes,
ccf-copilot-workflow-completed-icon,wrapper,not necessary,NONE,yes,no,
ccf-copilot-workflow-icon,wrapper,clipboard-list,CUSTOM,yes,yes,
ccf-copy-icon,wrapper,copy,HIGH,no,no,
ccf-customWorkspace-icon,wrapper,monitor,HIGH,no,no,
ccf-customer-card-icon,wrapper,id-card,HIGH,no,no,
ccf-cxagent-logo-icon,wrapper,,CUSTOM,no,no,
ccf-cxone-logo-icon,wrapper,,CUSTOM,no,no,
ccf-date-picker-icon,wrapper,calendar-days,HIGH,no,no,
ccf-delete-icon,wrapper,delete,HIGH,no,no,
ccf-digital-appleChat-icon,wrapper,,CUSTOM,no,no,
ccf-digital-chat-icon,wrapper,,CUSTOM,no,no,
ccf-digital-email-icon,wrapper,,CUSTOM,no,no,
ccf-digital-facebook-icon,wrapper,,CUSTOM,no,no,
ccf-digital-icon,wrapper,card-sim,MEDIUM,no,no,
ccf-digital-instagram-icon,wrapper,,CUSTOM,no,no,
ccf-digital-line-icon,wrapper,,CUSTOM,no,no,
ccf-digital-linkedIn-icon,wrapper,,CUSTOM,no,no,
ccf-digital-tag-add-icon,wrapper,tag-plus,HIGH,no,no,
ccf-digital-tag-icon,wrapper,tag,HIGH,no,no,
ccf-digital-twitter-icon,wrapper,,CUSTOM,no,no,
ccf-digital-weChat-icon,wrapper,,CUSTOM,no,no,
ccf-digital-whatsApp-icon,wrapper,,CUSTOM,no,no,
ccf-directory-icon,wrapper,book-user,HIGH,no,no,
ccf-disable-call-icon,wrapper,phone-call,MEDIUM,no,no,
ccf-disposition-icon,wrapper,circle-check-big,HIGH,no,no,
ccf-dock-control-icon,wrapper,git-commit-horizontal,MEDIUM,no,no,
ccf-double-arrow-icon,wrapper,chevrons-down,HIGH,no,no,
ccf-download-transcript-icon,wrapper,file-down,HIGH,no,no,
ccf-draft-approval,wrapper,file-check,HIGH,no,no,
ccf-draggable-icon,wrapper,grip-vertical,HIGH,no,no,
ccf-dual-assignment-icon,wrapper,school,MEDIUM,no,no,
ccf-edit-book-icon,wrapper,pencil,HIGH,no,no,
ccf-edit-icon,wrapper,edit-2,HIGH,no,no,
ccf-edit-pen-icon,wrapper,pen,HIGH,no,no,
ccf-elevated-interaction-icon,wrapper,mouse-pointer-2-off,MEDIUM,no,no,
ccf-email-icon,wrapper,mail,HIGH,no,no,
ccf-email-sort-order-icon,wrapper,arrow-up-down,HIGH,no,no,
ccf-emoji-icon,wrapper,smile,HIGH,no,no,
ccf-enlighten-icon,wrapper,lightbulb,HIGH,no,no,
ccf-external-directory-icon,wrapper,book-up,HIGH,no,no,
ccf-facebook-approve-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-facebook-comment-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-facebook-icon,wrapper,,CUSTOM,no,no,
ccf-facebook-like-icon,wrapper,,CUSTOM,no,no,
ccf-facebook-love-icon,wrapper,,CUSTOM,no,no,
ccf-facebook-wow-icon,wrapper,,CUSTOM,no,no,
ccf-fast-forward-icon,wrapper,fast-forward,HIGH,no,no,
ccf-favourite-icon,wrapper,star,HIGH,no,no,
ccf-fax-machine-icon,wrapper,printer,MEDIUM,no,no,
ccf-feedback-icon,wrapper,message-square-heart,HIGH,no,no,
ccf-filter-icon,wrapper,filter,HIGH,no,no,
ccf-flash-icon,wrapper,zap,HIGH,no,no,
ccf-focus-icon,wrapper,crosshair,HIGH,no,no,
ccf-format-bold-icon,wrapper,bold,HIGH,no,no,
ccf-gif-icon,wrapper,,CUSTOM,no,no,
ccf-header-bell-icon,wrapper,bell,HIGH,no,no,
ccf-header-grid-icon,wrapper,grid-3-x-3,HIGH,no,no,
ccf-header-search-icon,wrapper,search,HIGH,no,no,
ccf-help-icon,wrapper,circle-help,HIGH,no,no,
ccf-hide-icon,wrapper,eye-closed,HIGH,no,no,
ccf-home-icon,wrapper,home,HIGH,no,no,
ccf-image-icon,wrapper,image,HIGH,no,no,
ccf-inbound-assignment-icon,wrapper,,CUSTOM,no,no,
ccf-inbound-icon,wrapper,user-round-arrow-left,MEDIUM,no,no,
ccf-info-icon,wrapper,info,HIGH,no,no,
ccf-insert-icon,wrapper,file-plus-2,HIGH,no,no,
ccf-interaction-complete-icon,wrapper,check-circle-2,HIGH,no,no,
ccf-keyboard-icon,wrapper,keyboard,HIGH,no,no,
ccf-launch-indicator-icon,wrapper,square-arrow-up,HIGH,no,no,
ccf-launch-indicator-revamped-icon,wrapper,square-arrow-up,HIGH,no,no,
ccf-left-arrow-icon,wrapper,chevron-left,HIGH,no,no,
ccf-line-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-linkedin-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-listening-voice-icon,wrapper,,CUSTOM,no,no,
ccf-logout-icon,wrapper,log-out,HIGH,no,no,
ccf-mail-outline-icon,wrapper,mail,HIGH,no,no,
ccf-menu-pin-icon,wrapper,pin,HIGH,no,no,
ccf-menubook-icon,wrapper,square-menu,MEDIUM,no,no,
ccf-message-outline-icon,wrapper,message-square,HIGH,no,no,
ccf-minus-icon,wrapper,minus,HIGH,no,no,
ccf-missing-id-voice-icon,wrapper,audio-lines,HIGH,no,no,
ccf-more-menu-icon,wrapper,ellipsis,HIGH,no,no,
ccf-navigation-icon,wrapper,chevron-right,HIGH,no,no,
ccf-negative-sentiment-icon,wrapper,minus,MEDIUM,no,no,
ccf-neutral-negative-sentiment-icon,wrapper,meh,MEDIUM,no,no,
ccf-neutral-positive-sentiment-icon,wrapper,message-circle-heart,MEDIUM,no,no,
ccf-new-interaction-icon,wrapper,user-plus,HIGH,no,no,
ccf-new-window-icon,wrapper,external-link,HIGH,no,no,
ccf-no-assignment-icon,wrapper,inbox,HIGH,no,no,
ccf-no-result-found-icon,wrapper,chart-no-axes-combined,MEDIUM,no,no,
ccf-not-authenticated-voice-icon,wrapper,,CUSTOM,no,no,
ccf-not-favorite-icon,wrapper,star,HIGH,no,no,
ccf-open-new-tab-icon,wrapper,square-arrow-out-up-right,HIGH,no,no,
ccf-open-panel-icon,wrapper,panel-left-open,HIGH,no,no,
ccf-open-url-icon,wrapper,book-open,MEDIUM,no,no,
ccf-outbound-assignment-icon,wrapper,user-plus,HIGH,no,no,
ccf-outbound-icon,wrapper,external-link,MEDIUM,no,no,
ccf-outcome-panel-icon,wrapper,,CUSTOM,no,no,
ccf-outcome-resolve-icon,wrapper,circle-check-big,HIGH,no,no,
ccf-overflow-icon,wrapper,ellipsis-vertical,HIGH,no,no,
ccf-paperclip-icon,wrapper,paperclip,HIGH,no,no,
ccf-participant-on-hold,wrapper,circle-power,MEDIUM,no,no,
ccf-person-icon,wrapper,person-standing,HIGH,no,no,
ccf-phone-icon,wrapper,phone,HIGH,no,no,
ccf-phone-inbound-icon,wrapper,,CUSTOM,no,no,
ccf-phone-inbound-revamped-icon,wrapper,,CUSTOM,no,no,
ccf-phone-outbound-icon,wrapper,phone,HIGH,no,no,
ccf-phone-outbound-revamped-icon,wrapper,,CUSTOM,no,no,
ccf-phone-outline-icon,wrapper,phone,HIGH,no,no,
ccf-phone-ringing-icon,wrapper,,CUSTOM,no,no,
ccf-pin-control-icon,wrapper,pin-off,HIGH,no,no,
ccf-plus-icon,wrapper,plus,HIGH,no,no,
ccf-pop-out-arrow-icon,wrapper,square-arrow-out-up-right,HIGH,no,no,
ccf-popover-icon,wrapper,utility-pole,LOW,no,no,
ccf-positive-sentiment-icon,wrapper,message-circle-heart,MEDIUM,no,no,
ccf-queue-counter-digital-icon,wrapper,rows-4,MEDIUM,no,no,
ccf-queue-icon,wrapper,,CUSTOM,no,no,
ccf-quick-replies-icon,wrapper,zap,HIGH,no,no,
ccf-redo-with-edit-icon,wrapper,folder-edit,MEDIUM,no,no,
ccf-refuse-approval,wrapper,file-x-2,HIGH,no,no,
ccf-replay-icon,wrapper,refresh-cw,HIGH,no,no,
ccf-reporting-icon,wrapper,bar-chart-big,HIGH,no,no,
ccf-resume-icon,wrapper,file-user,MEDIUM,no,no,
ccf-return-to-tab-icon,wrapper,picture-in-picture,MEDIUM,no,no,
ccf-rewind-icon,wrapper,rewind,NONE,no,no,
ccf-right-arrow-forward-icon,wrapper,arrow-right,HIGH,no,no,
ccf-right-arrow-icon,wrapper,chevron-right,HIGH,no,no,
ccf-schedule-new-commitment-icon,wrapper,calendar,HIGH,no,no,
ccf-screen-pop-icon,wrapper,pencil-ruler,HIGH,no,no,
ccf-scroll-to-bottom-icon,wrapper,arrow-down,HIGH,no,no,
ccf-search-icon,wrapper,search,HIGH,no,no,
ccf-see-more-icon,wrapper,message-circle-more,MEDIUM,no,no,
ccf-send-icon,wrapper,send,HIGH,no,no,
ccf-send-transcript-icon,wrapper,send-horizontal,HIGH,no,no,
ccf-send-with-enter-icon,wrapper,send-horizontal,HIGH,no,no,
ccf-sentiment-icon,wrapper,meh,HIGH,no,no,
ccf-settings-icon,wrapper,settings,HIGH,no,no,
ccf-sharp-inbound-icon,wrapper,,CUSTOM,no,no,
ccf-sharp-outbound-icon,wrapper,,CUSTOM,no,no,
ccf-show-icon,wrapper,eye,HIGH,no,no,
ccf-show-origin-icon,wrapper,tv-minimal,HIGH,no,no,
ccf-single-arrow-icon,wrapper,chevron-down,HIGH,no,no,
ccf-skill-icon,wrapper,wrench,HIGH,no,no,
ccf-sms-icon,wrapper,,CUSTOM,no,no,
ccf-sort-icon,wrapper,sort-desc,HIGH,no,no,
ccf-sort-order-icon-ascending,wrapper,list-sort-ascending,HIGH,no,no,
ccf-sort-order-icon-descending,wrapper,arrow-down-wide-narrow,HIGH,no,no,
ccf-sparkles-icon,wrapper,sparkles,HIGH,no,no,
ccf-speaker-icon,wrapper,speaker,HIGH,no,no,
ccf-sr-desk-icon,wrapper,lamp-desk,MEDIUM,no,no,
ccf-suggestion-icon,wrapper,lightbulb,HIGH,no,no,
ccf-swap-icon,wrapper,arrow-up-down,HIGH,no,no,
ccf-team-icon,wrapper,users,HIGH,no,no,
ccf-text-color-icon,wrapper,baseline,HIGH,no,no,
ccf-transcript-icon,wrapper,scroll-text,HIGH,no,no,
ccf-transcription-error-icon,wrapper,alert-circle,HIGH,no,no,
ccf-transfer-arrows-icon,wrapper,arrow-right-left,HIGH,no,no,
ccf-transfer-icon,wrapper,arrow-right-left,HIGH,no,no,
ccf-translation-arrows-icon,wrapper,arrow-down-up,HIGH,no,no,
ccf-trash-bin-icon,wrapper,trash-2,HIGH,no,no,
ccf-tweet-eye-icon,wrapper,eye,HIGH,no,no,
ccf-twitter-auth-batch-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-twitter-comments-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-twitter-favorite-icon,wrapper,,NONE,no,no,No Lucide equivalent
ccf-twitter-icon,wrapper,,CUSTOM,no,no,
ccf-twitter-insert-emoji-icon,wrapper,smile-plus,HIGH,no,no,
ccf-twitter-insert-gif-icon,wrapper,,CUSTOM,no,no,
ccf-twitter-insert-pic-icon,wrapper,,CUSTOM,no,no,
ccf-twitter-retweet-icon,wrapper,,CUSTOM,no,no,
ccf-unavailable-icon,wrapper,circle-minus,HIGH,no,no,
ccf-unfavored-icon,wrapper,star,HIGH,no,no,
ccf-unmask-icon,wrapper,,CUSTOM,no,no,
ccf-up-arrow-icon,wrapper,chevron-up,HIGH,no,no,
ccf-upload-icon,wrapper,upload,HIGH,no,no,
ccf-user-plus-icon,wrapper,user-plus,HIGH,no,no,
ccf-video-outline-icon,wrapper,video,HIGH,no,no,
ccf-view-in-new-window-icon,wrapper,app-window,HIGH,no,no,
ccf-voicemail-hold-icon,wrapper,pause,HIGH,no,no,
ccf-voicemail-icon,wrapper,voicemail,HIGH,no,no,
ccf-voicemail-resume-icon,wrapper,file-user,MEDIUM,no,no,
ccf-wem-icon,wrapper,,CUSTOM,no,no,
ccf-whatsApp-icon,wrapper,,CUSTOM,no,no,
ccf-work-history-icon,wrapper,history,HIGH,no,no,
ccf-work-item-icon,wrapper,list,HIGH,no,no,
ccf-working-icon,wrapper,circle-dot,HIGH,no,no,
ccf-writing-icon,wrapper,pen,HIGH,no,no,
APPROVAL_BANNER_ICONS.APPROVAL_DENY,inline,file-x-2,HIGH,no,no,
ATTACHMENT_ICON_NAME.CLOSE,inline,x,HIGH,no,no,
ATTACHMENT_ICON_NAME.DOCUMENT,inline,file-text,HIGH,no,no,
ATTACHMENT_ICON_NAME.DOWNLOAD,inline,cloud-download,HIGH,no,no,
ATTACHMENT_ICON_NAME.DOWNLOADALL,inline,move-down,MEDIUM,no,no,
ATTACHMENT_ICON_NAME.IMAGE,inline,image,HIGH,no,no,
ATTACHMENT_ICON_NAME.PDF,inline,,CUSTOM,no,no,
ATTACHMENT_ICON_NAME.PREVIEW,inline,file-search-2,HIGH,no,no,
ATTACHMENT_ICON_NAME.RECORDING_IN_PROGRESS,inline,loader-pinwheel,MEDIUM,no,no,
ATTACHMENT_ICON_NAME.RECORDING_STARTED,inline,mic,HIGH,no,no,
ATTACHMENT_ICON_NAME.RECORDING_STOPPED,inline,mic,HIGH,no,no,
ATTACHMENT_ICON_NAME.REOCORDING_DISABLED,inline,mic,HIGH,no,no,
CHANNEL_DIRECTION.INBOUND,inline,user-round-arrow-left,MEDIUM,no,no,
CHANNEL_DIRECTION.OUTBOUND,inline,external-link,MEDIUM,no,no,
CHANNEL_ICON_NAME.APPLE_REVIEWS,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.GOOGLE_BUSINESS_MESSAGE,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.GOOGLE_PLACES,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.GOOGLE_PLAY,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.IBCALL,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.INSTAGRAM,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.LIVECHAT,inline,message-square,HIGH,no,no,
CHANNEL_ICON_NAME.MS_TEAMS,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.OBCALL,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.SLACK,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.SMS,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.SMS_IB,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.SMS_OB,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.TELEGRAM,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.TWITTER,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.VIBER,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.VOICE,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.VOICE_IB,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.VOICE_OB,inline,,CUSTOM,no,no,
CHANNEL_ICON_NAME.VOICE_OLD,inline,phone-incoming,HIGH,no,no,
CHANNEL_ICON_NAME.VOICE_OLD_2,inline,clock-9,HIGH,no,no,
CHANNEL_ICON_NAME.VOICE_OLD_3,inline,voicemail,MEDIUM,no,no,
CHANNEL_ICON_NAME.VOICE_OLD_4,inline,user-x,HIGH,no,no,
CHANNEL_ICON_NAME.VOICE_OLD_5,inline,file-x,HIGH,no,no,
CHANNEL_ICON_NAME.YOUTUBE,inline,,CUSTOM,no,no,
CHANNEL_TYPE.PUBLIC,inline,earth,HIGH,no,no,
DIGITAL_SEARCH_ICONS.COLUMNS,inline,columns-3,HIGH,no,no,
DIGITAL_SEARCH_ICONS.PERMISSION_DENIED,inline,,CUSTOM,no,no,
DIGITAL_SEARCH_ICONS.PERMISSION_DENIED_2,inline,clipboard-check,HIGH,no,no,
EMAIL_ACTIONS.FORWARD,inline,forward,HIGH,no,no,
EMAIL_ACTIONS.REPLY,inline,reply,HIGH,no,no,
EMAIL_ACTIONS.REPLY_2,inline,check-check,HIGH,no,no,
EMAIL_ACTIONS.REPLY_3,inline,check-check,HIGH,no,no,
EMAIL_ACTIONS.REPLY_ALL,inline,reply-all,HIGH,no,no,
LINK_ICONS.RICH_MESSAGE_LINK,inline,link,HIGH,no,no,
REACTION_ICONS.LIKE,inline,thumbs-up,HIGH,no,no,
